REGIAO,PAIS,CONSUMO,CONSUMO_DECIMAL,ANO
Asia-Pacifico,Indonesia,1679,950194,2014
Asia-Pacifico,Japao,4292,444683,2014
Asia-Pacifico,Malasia,802,3722282,2014
Asia-Pacifico,Nova Zelandia,156,0820798,2014
Asia-Pacifico,Paquistao,457,9473822,2014
Asia-Pacifico,Sri Lanka,70,59459608,2014
Asia-Pacifico,Tailandia,1270,257079,2014
Asia-Pacifico,Taiwan,1012,640499,2014
Asia-Pacifico,Vietna,409,0843273,2014
Asia-Pacifico,Outros,387,7921523,2014
America do Norte,Canada,2346,753193,2015
America do Norte,Estados Unidos,18523,67892,2015
America do Norte,Mexico,1939,288594,2015
Americas Central e do Sul,Argentina,662,4208457,2015
Americas Central e do Sul,Brasil,2559,264608,2015
Americas Central e do Sul,Chile,355,4731352,2015
Americas Central e do Sul,Colombia,331,3001346,2015
Americas Central e do Sul,Equador,253,7408991,2015
Americas Central e do Sul,Peru,237,3333711,2015
Americas Central e do Sul,Trinidad e Tobago,44,90226575,2015
Americas Central e do Sul,Venezuela,637,0211387,2015
Americas Central e do Sul,Outros,1216,655049,2015
Europa,Alemanha,2269,128603,2015
Europa,Austria,242,1421306,2015
Europa,Belgica,669,1195991,2015
Europa,Bulgaria,94,57156124,2015
Europa,Chipre,46,46547907,2015
Europa,Croacia,67,9052,2015
Europa,Dinamarca,155,2471726,2015
Europa,Eslovaquia,73,00219178,2015
Europa,Eslovenia,48,74554225,2015
Europa,Espanha,1218,792402,2015
Europa,Estonia,29,17607403,2015
Europa,Finlandia,201,9871123,2015
Europa,Franca,1544,866215,2015
Europa,Grecia,309,2645859,2015
Europa,Holanda,825,6041699,2015
Europa,Hungria,163,8056887,2015
Europa,Islandia,16,96879946,2015
Europa,Irlanda,144,0662204,2015
Europa,Italia,1227,311669,2015
Europa,Letonia,35,28871402,2015
Europa,Lituania,55,41914521,2015
Europa,Luxemburgo,54,1531166,2015
Europa,Macedonia,19,93085666,2015
Europa,Noruega,219,265144,2015
Europa,Polonia,542,3743901,2015
Europa,Portugal,238,2729676,2015
Europa,Reino Unido,1552,443137,2015
Europa,Republica Tcheca,188,5706943,2015
Europa,Romenia,186,3793973,2015
Europa,Suecia,279,6137932,2015
Europa,Suica,226,2230062,2015
Europa,Turquia,914,7154473,2015
Europa,Ucrania,193,1065281,2015
Europa,Outros,306,5647288,2015
Comunidade dos Estados Independentes,Azerbaijao,99,53091043,2015
Comunidade dos Estados Independentes,Belarus,138,5230223,2015
Comunidade dos Estados Independentes,Cazaquistao,295,0069643,2015
Comunidade dos Estados Independentes,Russia,3142,884038,2015
Comunidade dos Estados Independentes,Turcomenistao,144,6013699,2015
Comunidade dos Estados Independentes,Uzbequistao,52,69287671,2015
Comunidade dos Estados Independentes,Outros,78,37884642,2015
Oriente Medio,Arabia Saudita,3882,981136,2015
Oriente Medio,Catar,332,1160749,2015
Oriente Medio,Coveite,471,2943715,2015
Oriente Medio,Emirados Arabes Unidos,957,0320994,2015
Oriente Medio,Ira,1713,29616,2015
Oriente Medio,Iraque,683,1926523,2015
Oriente Medio,Israel,226,2791223,2015
Oriente Medio,Oma,184,0421918,2015
Oriente Medio,Outros,536,9753158,2015
Africa,Africa do Sul,578,4218561,2015
Africa,Africa Central,265,923623,2015
Africa,Africa Ocidental,564,3596725,2015
Africa,Africa Oriental,547,558201,2015
Africa,Argelia,424,976137,2015
Africa,Egito,834,2015503,2015
Africa,Marrocos,267,7937487,2015
Africa,Outros Norte da Africa,317,8777503,2015
Africa,Outros Sul da Africa,58,00046591,2015
Asia-Pacifico,Australia,985,2998403,2015
Asia-Pacifico,Bangladesh,127,4797323,2015
Asia-Pacifico,China,11911,16977,2015
Asia-Pacifico,Cingapura,1328,243034,2015
Asia-Pacifico,Coreia do Sul,2577,084658,2015
Asia-Pacifico,Hong Kong,367,3922056,2015
Asia-Pacifico,Filipinas,384,4563468,2015
Asia-Pacifico,India,4230,43309,2015
Asia-Pacifico,Indonesia,1558,200275,2015
Asia-Pacifico,Japao,4137,957922,2015
Asia-Pacifico,Malasia,750,777395,2015
Asia-Pacifico,Nova Zelandia,162,7238376,2015
Asia-Pacifico,Paquistao,505,3006481,2015
Asia-Pacifico,Sri Lanka,89,56213877,2015
Asia-Pacifico,Tailandia,1329,656216,2015
Asia-Pacifico,Taiwan,1021,235455,2015
Asia-Pacifico,Vietna,452,1226162,2015
Asia-Pacifico,Outros,424,7696426,2015
America do Norte,Canada,2393,32596,2016
America do Norte,Estados Unidos,18617,64078,2016
America do Norte,Mexico,1950,178577,2016
Americas Central e do Sul,Argentina,650,5083892,2016
Americas Central e do Sul,Brasil,2436,209409,2016
Americas Central e do Sul,Chile,377,0229636,2016
Americas Central e do Sul,Colombia,342,9160245,2016
Americas Central e do Sul,Equador,239,1189784,2016
Americas Central e do Sul,Peru,249,7115099,2016
Americas Central e do Sul,Trinidad e Tobago,47,34634699,2016
Americas Central e do Sul,Venezuela,537,3325053,2016
Americas Central e do Sul,Outros,1255,466016,2016
Europa,Alemanha,2307,498743,2016
Europa,Austria,249,8448032,2016
Europa,Belgica,674,3281784,2016
Europa,Bulgaria,95,3196817,2016
Europa,Chipre,50,52567432,2016
Europa,Croacia,68,20887432,2016
Europa,Dinamarca,152,771322,2016
Europa,Eslovaquia,75,70434426,2016
Europa,Eslovenia,51,92060389,2016
Europa,Espanha,1262,142317,2016
Europa,Estonia,28,59514952,2016
Europa,Finlandia,216,6020069,2016
Europa,Franca,1529,439955,2016
Europa,Grecia,310,5211365,2016
Europa,Holanda,843,487496,2016
Europa,Hungria,161,099997,2016
Europa,Islandia,18,70727416,2016
Europa,Irlanda,149,7354754,2016
Europa,Italia,1236,479444,2016
Europa,Letonia,36,30282093,2016
Europa,Lituania,59,92838251,2016
Europa,Luxemburgo,53,97135874,2016
Europa,Macedonia,22,14297377,2016
Europa,Noruega,209,6396699,2016
Europa,Polonia,593,9606335,2016
Europa,Portugal,233,761499,2016
Europa,Reino Unido,1596,842794,2016
Europa,Republica Tcheca,174,5954481,2016
Europa,Romenia,195,4642623,2016
Europa,Suecia,291,0872081,2016
Europa,Suica,213,6213761,2016
Europa,Turquia,973,2164547,2016
Europa,Ucrania,203,7016997,2016
Europa,Outros,327,3826105,2016
Comunidade dos Estados Independentes,Azerbaijao,97,8504038,2016
Comunidade dos Estados Independentes,Belarus,135,852563,2016
Comunidade dos Estados Independentes,Cazaquistao,305,3224546,2016
Comunidade dos Estados Independentes,Russia,3219,156889,2016
Comunidade dos Estados Independentes,Turcomenistao,142,8918033,2016
Comunidade dos Estados Independentes,Uzbequistao,48,62046448,2016
Comunidade dos Estados Independentes,Outros,85,92975178,2016
Oriente Medio,Arabia Saudita,3874,80925,2016
Oriente Medio,Catar,347,0617226,2016
Oriente Medio,Coveite,482,3313242,2016
Oriente Medio,Emirados Arabes Unidos,1028,310489,2016
Oriente Medio,Ira,1764,489442,2016
Oriente Medio,Iraque,760,2674864,2016
Oriente Medio,Israel,230,4662383,2016
Oriente Medio,Oma,186,9304098,2016
Oriente Medio,Outros,515,9807258,2016
Africa,Africa do Sul,545,9134379,2016
Africa,Africa Central,255,4790655,2016
Africa,Africa Ocidental,627,3534294,2016
Africa,Africa Oriental,569,7448646,2016
Africa,Argelia,412,2228415,2016
Africa,Egito,856,8903518,2016
Africa,Marrocos,274,6529235,2016
Africa,Outros Norte da Africa,292,4072118,2016
Africa,Outros Sul da Africa,59,17237682,2016
Asia-Pacifico,Australia,991,9988754,2016
Asia-Pacifico,Bangladesh,138,1885474,2016
Asia-Pacifico,China,12248,25655,2016
Asia-Pacifico,Cingapura,1371,957254,2016
Asia-Pacifico,Coreia do Sul,2770,872787,2016
Asia-Pacifico,Hong Kong,380,0856436,2016
Asia-Pacifico,Filipinas,413,3536877,2016
Asia-Pacifico,India,4631,808364,2016
Asia-Pacifico,Indonesia,1572,259557,2016
Asia-Pacifico,Japao,4006,218378,2016
Asia-Pacifico,Malasia,838,8264595,2016
Asia-Pacifico,Nova Zelandia,166,316294,2016
Asia-Pacifico,Paquistao,566,0165003,2016
Asia-Pacifico,Sri Lanka,105,1768097,2016
Asia-Pacifico,Tailandia,1364,376883,2016
Asia-Pacifico,Taiwan,1046,137399,2016
Asia-Pacifico,Vietna,470,1477927,2016
Asia-Pacifico,Outros,436,5420345,2016
America do Norte,Canada,2393,007348,2017
America do Norte,Estados Unidos,18883,3369,2017
America do Norte,Mexico,1883,227421,2017
